customer_id,first_name,last_name,gender,age,email,phone,state_name,area,country,registration_date
1,John,Doe,Male,30.0,john.doe@example.com,1234567890,California,West,USA,2024-10-01
2,Jane,Smith,Female,28.0,jane.smith@example.com,2345678901,Texas,South,USA,2024-10-02
3,Alice,Johnson,Female,35.0,alice.johnson@example.com,3456789012,Florida,South,USA,2024-10-03
4,Bob,Brown,Male,40.0,bob.brown@example.com,4567890123,New York,East,USA,2024-10-04
5,Emily,Davis,Female,22.0,emily.davis@example.com,5678901234,Illinois,Midwest,USA,2024-10-05
6,Michael,Garcia,Male,50.0,michael.garcia@example.com,6789012345,Nevada,West,USA,2024-10-06
7,Sarah,Martinez,Female,27.0,sarah.martinez@example.com,7890123456,Oregon,West,USA,2024-10-07
8,David,Hernandez,Male,34.0,david.hernandez@example.com,8901234567,Arizona,West,USA,2024-10-08
9,Olivia,Wilson,Female,31.0,olivia.wilson@example.com,9012345678,Ohio,Midwest,USA,2024-10-09
10,James,Anderson,Male,29.0,james.anderson@example.com,0123456789,Georgia,South,USA,2024-10-10
11,Emma,Thomas,Female,26.0,emma.thomas@example.com,1357924680,Michigan,Midwest,USA,2024-10-11
12,Liam,Moore,Male,33.0,liam.moore@example.com,2468135790,Pennsylvania,East,USA,2024-10-12
13,Sophia,Taylor,Female,24.0,sophia.taylor@example.com,3579246801,Virginia,East,USA,2024-10-13
14,Benjamin,Jackson,Male,45.0,benjamin.jackson@example.com,4681357902,New Jersey,East,USA,2024-10-14
15,Isabella,White,Female,29.0,isabella.white@example.com,5792468013,Washington,West,USA,2024-10-15
16,Mason,Harris,Male,36.0,mason.harris@example.com,6803579124,Minnesota,Midwest,USA,2024-10-16
17,Charlotte,Martin,Female,25.0,charlotte.martin@example.com,7914680235,Tennessee,South,USA,2024-10-17
18,Elijah,Thompson,Male,39.0,elijah.thompson@example.com,8025791346,Missouri,Midwest,USA,2024-10-18
19,Ava,Garcia,Female,32.0,ava.garcia@example.com,9136802457,Alabama,South,USA,2024-10-19
20,Logan,Martinez,Male,48.0,logan.martinez@example.com,0247913568,Kentucky,South,USA,2024-10-20
21,Mia,Robinson,Female,30.0,mia.robinson@example.com,1358024679,Colorado,West,USA,2024-10-21
22,Ethan,Scott,Male,37.0,ethan.scott@example.com,1234567801,Maine,Northeast,USA,2024-10-21
23,Avery,Young,Female,34.0,avery.young@example.com,2345678902,Connecticut,Northeast,USA,2024-10-22
24,James,Wright,Male,28.0,james.wright@example.com,3456789013,South Carolina,South,USA,2024-10-23
